Function,Argument,Utterance
matplotlib.axes.Axes.axvline,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.axvline,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.axvline,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.axvspan,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.axvspan,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.axvspan,alpha,Set the alpha tranparency of the patch .
matplotlib.axes.Axes.axvspan,anchor,anchor
matplotlib.axes.Axes.axvspan,animated,Set the artist 's animation state .
matplotlib.axes.Axes.axvspan,antialiased,Set whether to use antialiased rendering
matplotlib.axes.Axes.axvspan,aspect,aspect
matplotlib.axes.Axes.axvspan,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.axvspan,capstyle,Set the patch capstyle
matplotlib.axes.Axes.axvspan,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.axvspan,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.axvspan,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.axvspan,closed,"Set if the polygon is closed|||If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.axvspan,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.axvspan,color,Set both the edgecolor and the facecolor .
matplotlib.axes.Axes.axvspan,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.axvspan,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.axvspan,cursor_props,Set the cursor property as
matplotlib.axes.Axes.axvspan,edgecolor,Set the patch edge color
matplotlib.axes.Axes.axvspan,facecolor,Set the patch face color
matplotlib.axes.Axes.axvspan,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.axvspan,fill,Set whether to fill the patch
matplotlib.axes.Axes.axvspan,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.axvspan,hatch,Set the hatching pattern
matplotlib.axes.Axes.axvspan,joinstyle,Set the patch joinstyle
matplotlib.axes.Axes.axvspan,label,Set the label to s for auto legend .
matplotlib.axes.Axes.axvspan,linestyle,Set the patch linestyle
matplotlib.axes.Axes.axvspan,linewidth,Set the patch linewidth in points
matplotlib.axes.Axes.axvspan,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.axvspan,picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.axvspan,position,Set the axes position with
matplotlib.axes.Axes.axvspan,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.axvspan,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.axvspan,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.axvspan,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.axvspan,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.axvspan,snap,Sets the snap setting which may be
matplotlib.axes.Axes.axvspan,title,Set a title for the axes .
matplotlib.axes.Axes.axvspan,transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.axvspan,url,Sets the url for the artist
matplotlib.axes.Axes.axvspan,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.axvspan,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.axvspan,x,x coords are in data units and y coords are in axes ( relative 0-1 ) units .
matplotlib.axes.Axes.axvspan,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.axvspan,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.axvspan,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.axvspan,xmax,"Draw a vertical span ( rectangle ) from xmin to xmax .|||Draw a vertical span ( rectangle ) from xmin to xmax . With the default values of ymin = 0 and ymax = 1 , this always spans the yrange , regardless of the ylim settings , even if you change them , e.g. , with the set_ylim ( ) command . That is , the vertical extent is in axes coords : 0=bottom , 0.5=middle , 1.0=top but the y location is in data coordinates ."
matplotlib.axes.Axes.axvspan,xmin,"Draw a vertical span ( rectangle ) from xmin to xmax .|||Draw a vertical span ( rectangle ) from xmin to xmax . With the default values of ymin = 0 and ymax = 1 , this always spans the yrange , regardless of the ylim settings , even if you change them , e.g. , with the set_ylim ( ) command . That is , the vertical extent is in axes coords : 0=bottom , 0.5=middle , 1.0=top but the y location is in data coordinates ."
matplotlib.axes.Axes.axvspan,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.axvspan,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.axvspan,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.axvspan,xy,Set the vertices of the polygon
matplotlib.axes.Axes.axvspan,y,"x coords are in data units and y coords are in axes ( relative 0-1 ) units .|||Draw a vertical span ( rectangle ) from xmin to xmax .|||Draw a vertical span ( rectangle ) from xmin to xmax . With the default values of ymin = 0 and ymax = 1 , this always spans the yrange , regardless of the ylim settings , even if you change them , e.g. , with the set_ylim ( ) command . That is , the vertical extent is in axes coords : 0=bottom , 0.5=middle , 1.0=top but the y location is in data coordinates ."
matplotlib.axes.Axes.axvspan,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.axvspan,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.axvspan,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.axvspan,ymax,"Draw a vertical span ( rectangle ) from xmin to xmax .|||Draw a vertical span ( rectangle ) from xmin to xmax . With the default values of ymin = 0 and ymax = 1 , this always spans the yrange , regardless of the ylim settings , even if you change them , e.g. , with the set_ylim ( ) command . That is , the vertical extent is in axes coords : 0=bottom , 0.5=middle , 1.0=top but the y location is in data coordinates ."
matplotlib.axes.Axes.axvspan,ymin,"Draw a vertical span ( rectangle ) from xmin to xmax .|||Draw a vertical span ( rectangle ) from xmin to xmax . With the default values of ymin = 0 and ymax = 1 , this always spans the yrange , regardless of the ylim settings , even if you change them , e.g. , with the set_ylim ( ) command . That is , the vertical extent is in axes coords : 0=bottom , 0.5=middle , 1.0=top but the y location is in data coordinates ."
matplotlib.axes.Axes.axvspan,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.axvspan,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.axvspan,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.axvspan,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.bar,align,"If ' edge ' , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) . If ' center ' , interpret the left argument as the coordinates of the centers of the bars . To align on the align bars on the right edge pass a negative width .|||If ' edge ' , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) ."
matplotlib.axes.Axes.bar,bottom,the y coordinate(s ) of the bars default : None
matplotlib.axes.Axes.bar,capsize,"determines the length in points of the error bar caps default : None , which will take the value from the errorbar.capsize rcParam ."
matplotlib.axes.Axes.bar,color,the colors of the bar faces
matplotlib.axes.Axes.bar,ecolor,specifies the color of errorbar(s ) default : None
matplotlib.axes.Axes.bar,edgecolor,the colors of the bar edges
matplotlib.axes.Axes.bar,error_kw,dictionary of kwargs to be passed to errorbar method . ecolor and capsize may be specified here rather than as independent kwargs .|||dictionary of kwargs to be passed to errorbar method .
matplotlib.axes.Axes.bar,height,the heights of the bars
matplotlib.axes.Axes.bar,left,the x coordinates of the left sides of the bars
matplotlib.axes.Axes.bar,linewidth,"width of bar edge(s ) . If None , use default linewidth ; If 0 , do n't draw edges . default : None|||width of bar edge(s ) ."
matplotlib.axes.Axes.bar,log,"If true , sets the axis to be log scale . default : False|||If true , sets the axis to be log scale ."
matplotlib.axes.Axes.bar,orientation,The orientation of the bars .
matplotlib.axes.Axes.bar,tick_label,the tick labels of the bars default : None
matplotlib.axes.Axes.bar,width,the width(s ) of the bars default : 0.8
matplotlib.axes.Axes.bar,xerr,"if not None , will be used to generate errorbar(s ) on the bar chart default : None"
matplotlib.axes.Axes.bar,yerr,"if not None , will be used to generate errorbar(s ) on the bar chart default : None"
matplotlib.axes.Axes.barbs,C,"U , V , C may be masked arrays , but masked X , Y are not supported at present ."
matplotlib.axes.Axes.barbs,U,"All arguments may be 1-D or 2-D arrays or sequences . If X and Y are absent , they will be generated as a uniform grid . If U and V are 2-D arrays but X and Y are 1-D , and if len(X ) and len(Y ) match the column and row dimensions of U , then X and Y will be expanded with numpy.meshgrid ( ) .|||All arguments may be 1-D or 2-D arrays or sequences .|||U , V , C may be masked arrays , but masked X , Y are not supported at present ."
matplotlib.axes.Axes.barbs,V,"All arguments may be 1-D or 2-D arrays or sequences . If X and Y are absent , they will be generated as a uniform grid . If U and V are 2-D arrays but X and Y are 1-D , and if len(X ) and len(Y ) match the column and row dimensions of U , then X and Y will be expanded with numpy.meshgrid ( ) .|||All arguments may be 1-D or 2-D arrays or sequences .|||U , V , C may be masked arrays , but masked X , Y are not supported at present ."
matplotlib.axes.Axes.barbs,X,"All arguments may be 1-D or 2-D arrays or sequences . If X and Y are absent , they will be generated as a uniform grid . If U and V are 2-D arrays but X and Y are 1-D , and if len(X ) and len(Y ) match the column and row dimensions of U , then X and Y will be expanded with numpy.meshgrid ( ) .|||All arguments may be 1-D or 2-D arrays or sequences .|||U , V , C may be masked arrays , but masked X , Y are not supported at present ."
matplotlib.axes.Axes.barbs,Y,"All arguments may be 1-D or 2-D arrays or sequences . If X and Y are absent , they will be generated as a uniform grid . If U and V are 2-D arrays but X and Y are 1-D , and if len(X ) and len(Y ) match the column and row dimensions of U , then X and Y will be expanded with numpy.meshgrid ( ) .|||All arguments may be 1-D or 2-D arrays or sequences .|||U , V , C may be masked arrays , but masked X , Y are not supported at present ."
matplotlib.axes.Axes.barbs,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.barbs,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.barbs,alpha,Set the alpha tranparencies of the collection .
matplotlib.axes.Axes.barbs,anchor,anchor
matplotlib.axes.Axes.barbs,animated,Set the artist 's animation state .
matplotlib.axes.Axes.barbs,antialiased,Set the antialiasing state for rendering .
matplotlib.axes.Axes.barbs,array,Set the image array from numpy array A
matplotlib.axes.Axes.barbs,aspect,aspect
matplotlib.axes.Axes.barbs,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.barbs,barb_increments,A dictionary of increments specifying values to associate with different parts of the barb .|||A dictionary of increments specifying values to associate with different parts of the barb . Only those values one wishes to override need to be included . ' half ' - half barbs ( Default is 5 ) ' full ' - full barbs ( Default is 10 ) ' flag ' - flags ( default is 50 )
matplotlib.axes.Axes.barbs,barbcolor,"Specifies the color all parts of the barb except any flags . This parameter is analagous to the edgecolor parameter for polygons , which can be used instead . However this parameter will override facecolor .|||Specifies the color all parts of the barb except any flags ."
matplotlib.axes.Axes.barbs,clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.axes.Axes.barbs,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.barbs,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.barbs,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.barbs,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.barbs,cmap,set the colormap for luminance data
matplotlib.axes.Axes.barbs,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.barbs,color,Set both the edgecolor and the facecolor .
matplotlib.axes.Axes.barbs,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.barbs,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.barbs,cursor_props,Set the cursor property as
matplotlib.axes.Axes.barbs,edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.axes.Axes.barbs,facecolor,Set the facecolor(s ) of the collection .
matplotlib.axes.Axes.barbs,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.barbs,fill_empty,"A flag on whether the empty barbs ( circles ) that are drawn should be filled with the flag color . If they are not filled , they will be drawn such that no color is applied to the center . Default is False|||A flag on whether the empty barbs ( circles ) that are drawn should be filled with the flag color ."
matplotlib.axes.Axes.barbs,flagcolor,"Specifies the color of any flags on the barb .|||Specifies the color of any flags on the barb . This parameter is analagous to the facecolor parameter for polygons , which can be used instead . However this parameter will override facecolor . If this is not set ( and C has not either ) then flagcolor will be set to match barbcolor so that the barb has a uniform color . If C has been set , flagcolor has no effect ."
matplotlib.axes.Axes.barbs,flip_barb,Either a single boolean flag or an array of booleans .|||Either a single boolean flag or an array of booleans . Single boolean indicates whether the lines and flags should point opposite to normal for all barbs . An array ( which should be the same size as the other data arrays ) indicates whether to flip for each individual barb . Normal behavior is for the barbs and lines to point right ( comes from wind barbs having these features point towards low pressure in the Northern Hemisphere . ) Default is False
matplotlib.axes.Axes.barbs,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.barbs,hatch,Set the hatching pattern
matplotlib.axes.Axes.barbs,label,Set the label to s for auto legend .
matplotlib.axes.Axes.barbs,length,Length of the barb in points ; the other parts of the barb are scaled against this .|||Length of the barb in points ; the other parts of the barb are scaled against this . Default is 9
matplotlib.axes.Axes.barbs,linestyle,Set the patch linestyle|||Set the linestyle(s ) for the collection .
matplotlib.axes.Axes.barbs,linewidth,Set the linewidth(s ) for the collection .
matplotlib.axes.Axes.barbs,norm,set the normalization instance
matplotlib.axes.Axes.barbs,offset_position,Set how offsets are applied .
matplotlib.axes.Axes.barbs,offsets,Set the offsets for the collection .
matplotlib.axes.Axes.barbs,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.barbs,picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.barbs,pivot,"The part of the arrow that is at the grid point ; the arrow rotates about this point , hence the name pivot . Default is ' tip '|||The part of the arrow that is at the grid point ; the arrow rotates about this point , hence the name pivot ."
matplotlib.axes.Axes.barbs,position,Set the axes position with
matplotlib.axes.Axes.barbs,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.barbs,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.barbs,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.barbs,rounding,"A flag to indicate whether the vector magnitude should be rounded when allocating barb components .|||A flag to indicate whether the vector magnitude should be rounded when allocating barb components . If True , the magnitude is rounded to the nearest multiple of the half-barb increment . If False , the magnitude is simply truncated to the next lowest multiple . Default is True"
matplotlib.axes.Axes.barbs,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.barbs,sizes,"A dictionary of coefficients specifying the ratio of a given feature to the length of the barb .|||A dictionary of coefficients specifying the ratio of a given feature to the length of the barb . Only those values one wishes to override need to be included . These features include : ' spacing ' - space between features ( flags , full/half barbs ) ' height ' - height ( distance from shaft to top ) of a flag or full barb ' width ' - width of a flag , twice the width of a full barb ' emptybarb ' - radius of the circle used for low magnitudes|||Set the sizes of each member of the collection ."
matplotlib.axes.Axes.barbs,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.barbs,snap,Sets the snap setting which may be
matplotlib.axes.Axes.barbs,title,Set a title for the axes .
matplotlib.axes.Axes.barbs,transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.barbs,url,Sets the url for the artist
matplotlib.axes.Axes.barbs,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.barbs,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.barbs,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.barbs,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.barbs,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.barbs,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.barbs,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.barbs,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.barbs,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.barbs,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.barbs,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.barbs,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.barbs,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.barbs,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.barbs,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.barh,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.barh,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.barh,align,"If edge , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) .|||If edge , aligns bars by their left edges ( for vertical bars ) and by their bottom edges ( for horizontal bars ) . If center , interpret the left argument as the coordinates of the centers of the bars ."
matplotlib.axes.Axes.barh,alpha,Set the alpha tranparency of the patch .
matplotlib.axes.Axes.barh,anchor,anchor
matplotlib.axes.Axes.barh,animated,Set the artist 's animation state .
matplotlib.axes.Axes.barh,antialiased,Set whether to use antialiased rendering
matplotlib.axes.Axes.barh,aspect,aspect
matplotlib.axes.Axes.barh,axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.axes.Axes.barh,bottom,the y coordinate(s ) of the bars
matplotlib.axes.Axes.barh,capsize,"determines the length in points of the error bar caps default : None , which will take the value from the errorbar.capsize rcParam ."
matplotlib.axes.Axes.barh,capstyle,Set the patch capstyle
matplotlib.axes.Axes.barh,clip_box,Set the artist 's clip Bbox .
matplotlib.axes.Axes.barh,clip_on,Set whether artist uses clipping .
matplotlib.axes.Axes.barh,clip_path,"Set the artist 's clip path , which may be"
matplotlib.axes.Axes.barh,closed,"If codes is None and closed is True , vertices will be treated as line segments of a closed polygon ."
matplotlib.axes.Axes.barh,codes,"n-length array integers representing the codes of the path .|||n-length array integers representing the codes of the path . If not None , codes must be the same length as vertices . If None , vertices will be treated as a series of line segments ."
matplotlib.axes.Axes.barh,color,the colors of the bars|||Set both the edgecolor and the facecolor .
matplotlib.axes.Axes.barh,color_cycle,Set the color cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.barh,contains,Replace the contains test used by this artist .
matplotlib.axes.Axes.barh,cursor_props,Set the cursor property as
matplotlib.axes.Axes.barh,ecolor,specifies the color of errorbar(s )
matplotlib.axes.Axes.barh,edgecolor,Set the patch edge color|||the colors of the bar edges
matplotlib.axes.Axes.barh,error_kw :,dictionary of kwargs to be passed to errorbar method . ecolor and capsize may be specified here rather than as independent kwargs .|||dictionary of kwargs to be passed to errorbar method .
matplotlib.axes.Axes.barh,facecolor,Set the patch face color
matplotlib.axes.Axes.barh,figure,Set the Figure instance the artist belongs to .
matplotlib.axes.Axes.barh,fill,Set whether to fill the patch
matplotlib.axes.Axes.barh,gid,Sets the ( group ) id for the artist
matplotlib.axes.Axes.barh,hatch,Set the hatching pattern
matplotlib.axes.Axes.barh,height,the heights of the bars
matplotlib.axes.Axes.barh,joinstyle,Set the patch joinstyle
matplotlib.axes.Axes.barh,label,Set the label to s for auto legend .
matplotlib.axes.Axes.barh,left,the x coordinates of the left sides of the bars
matplotlib.axes.Axes.barh,linestyle,Set the patch linestyle
matplotlib.axes.Axes.barh,linewidth,"width of bar edge(s ) .|||width of bar edge(s ) . If None , use default linewidth ; If 0 , do n't draw edges .|||Set the patch linewidth in points"
matplotlib.axes.Axes.barh,log,"If true , sets the axis to be log scale"
matplotlib.axes.Axes.barh,path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.axes.Axes.barh,picker,Set the epsilon for picking used by this artist
matplotlib.axes.Axes.barh,position,Set the axes position with
matplotlib.axes.Axes.barh,prop_cycle,Set the property cycle for any future plot commands on this Axes .
matplotlib.axes.Axes.barh,rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.axes.Axes.barh,readonly,Makes the path behave in an immutable way and sets the vertices and codes as read-only arrays .
matplotlib.axes.Axes.barh,size_inches,Set the figure size in inches ( 1in = = 2.54cm )
matplotlib.axes.Axes.barh,sketch_params,Sets the sketch parameters .
matplotlib.axes.Axes.barh,snap,Sets the snap setting which may be
matplotlib.axes.Axes.barh,tick_label,the tick labels of the bars
matplotlib.axes.Axes.barh,title,Set a title for the axes .
matplotlib.axes.Axes.barh,transform,Set the Transform instance used by this artist .
matplotlib.axes.Axes.barh,url,Sets the url for the artist
matplotlib.axes.Axes.barh,vertices,"The ( n , 2 ) float array , masked array or sequence of pairs representing the vertices of the path ."
matplotlib.axes.Axes.barh,visible,Set the artist 's visiblity .
matplotlib.axes.Axes.barh,width,the width(s ) of the bars
matplotlib.axes.Axes.barh,xerr,"if not None , will be used to generate errorbar(s ) on the bar chart"
matplotlib.axes.Axes.barh,xlabel,Set the label for the xaxis .
matplotlib.axes.Axes.barh,xlim,Set the data limits for the xaxis
matplotlib.axes.Axes.barh,xmargin,Set padding of X data limits prior to autoscaling .
matplotlib.axes.Axes.barh,xscale,Set the scaling of the x-axis
matplotlib.axes.Axes.barh,xticklabels,Set the xtick labels with list of strings labels .
matplotlib.axes.Axes.barh,xticks,Set the x ticks with list of ticks
matplotlib.axes.Axes.barh,yerr,"if not None , will be used to generate errorbar(s ) on the bar chart"
matplotlib.axes.Axes.barh,ylabel,Set the label for the yaxis
matplotlib.axes.Axes.barh,ylim,Set the data limits for the yaxis
matplotlib.axes.Axes.barh,ymargin,Set padding of Y data limits prior to autoscaling .
matplotlib.axes.Axes.barh,yscale,Set the scaling of the y-axis
matplotlib.axes.Axes.barh,yticklabels,Set the y tick labels with list of strings labels .
matplotlib.axes.Axes.barh,yticks,Set the y ticks with list of ticks
matplotlib.axes.Axes.barh,zorder,Set the zorder for the artist .
matplotlib.axes.Axes.boxplot,bootstrap,"Specifies whether to bootstrap the confidence intervals around the median for notched boxplots . If bootstrap==None , no bootstrapping is performed , and notches are calculated using a Gaussian-based asymptotic approximation ( see McGill , R. , Tukey , J.W. , and Larsen , W.A. , 1978 , and Kendall and Stuart , 1967 ) . Otherwise , bootstrap specifies the number of times to bootstrap the median to determine it 's 95% confidence intervals . Values between 1000 and 10000 are recommended .|||Specifies whether to bootstrap the confidence intervals around the median for notched boxplots ."
matplotlib.axes.Axes.boxplot,boxprops,"If provided , will set the plotting style of the boxes"
matplotlib.axes.Axes.boxplot,capprops,"If provided , will set the plotting style of the caps"
matplotlib.axes.Axes.boxplot,conf_intervals,"Array or sequence whose first dimension ( or length ) is compatible with x and whose second dimension is 2 .|||Array or sequence whose first dimension ( or length ) is compatible with x and whose second dimension is 2 . When the current element of conf_intervals is not None , the notch locations computed by matplotlib are overridden ( assuming notch is True ) . When an element of conf_intervals is None , boxplot compute notches the method specified by the other kwargs ( e.g. , bootstrap ) ."
matplotlib.axes.Axes.boxplot,flierprops,"If provided , will set the plotting style of the fliers"
matplotlib.axes.Axes.boxplot,labels,Labels for each dataset . Length must be compatible with dimensions of x|||Labels for each dataset .
matplotlib.axes.Axes.boxplot,manage_xticks,If the function should adjust the xlim and xtick locations .
matplotlib.axes.Axes.boxplot,meanline,"If True ( and showmeans is True ) , will try to render the mean as a line spanning the full width of the box according to meanprops . Not recommended if shownotches is also True . Otherwise , means will be shown as points .|||If True ( and showmeans is True ) , will try to render the mean as a line spanning the full width of the box according to meanprops ."
matplotlib.axes.Axes.boxplot,meanprops,"If provided , will set the plotting style of the means"
matplotlib.axes.Axes.boxplot,medianprops,"If provided , will set the plotting style of the medians"
matplotlib.axes.Axes.boxplot,notch,"If False , produces a rectangular box plot .|||If False , produces a rectangular box plot . If True , will produce a notched box plot"
matplotlib.axes.Axes.boxplot,patch_artist,If False produces boxes with the Line2D artist If True produces boxes with the Patch artist
matplotlib.axes.Axes.boxplot,positions,Sets the positions of the boxes .|||Sets the positions of the boxes . The ticks and limits are automatically set to match the positions .
matplotlib.axes.Axes.boxplot,showbox,"If True , will toggle one the rendering of box"
matplotlib.axes.Axes.boxplot,showcaps,"If True , will toggle one the rendering of the caps"
matplotlib.axes.Axes.boxplot,showfliers,"If True , will toggle one the rendering of the fliers"
matplotlib.axes.Axes.boxplot,showmeans,"If True , will toggle one the rendering of the means"
matplotlib.axes.Axes.boxplot,sym,"The default symbol for flier points .|||The default symbol for flier points . Enter an empty string ( ' ' ) if you do n't want to show fliers . If None , then the fliers default to ' b + ' If you want more control use the flierprops kwarg ."
matplotlib.axes.Axes.boxplot,usermedians,"An array or sequence whose first dimension ( or length ) is compatible with x .|||An array or sequence whose first dimension ( or length ) is compatible with x . This overrides the medians computed by matplotlib for each element of usermedians that is not None . When an element of usermedians = = None , the median will be computed by matplotlib as normal ."
matplotlib.axes.Axes.boxplot,vert,"If True ( default ) , makes the boxes vertical .|||If True ( default ) , makes the boxes vertical . If False , makes horizontal boxes ."
matplotlib.axes.Axes.boxplot,whis,"As a float , determines the reach of the whiskers past the first and third quartiles ( e.g. , Q3 + whis*IQR , IQR = interquartile range , Q3-Q1 ) . Beyond the whiskers , data are considered outliers and are plotted as individual points . Set this to an unreasonably high value to force the whiskers to show the min and max values . Alternatively , set this to an ascending sequence of percentile ( e.g. , [ 5 , 95 ] ) to set the whiskers at specific percentiles of the data . Finally , whis can be the string ' range ' to force the whiskers to the min and max of the data . In the edge case that the 25th and 75th percentiles are equivalent , whis will be automatically set to ' range ' .|||As a float , determines the reach of the whiskers past the first and third quartiles ( e.g. , Q3 + whis*IQR , IQR = interquartile range , Q3-Q1 ) ."
matplotlib.axes.Axes.boxplot,whiskerprops,"If provided , will set the plotting style of the whiskers"
matplotlib.axes.Axes.boxplot,widths,"Either a scalar or a vector and sets the width of each box . The default is 0.5 , or 0.15*(distance between extreme positions ) if that is smaller .|||Either a scalar or a vector and sets the width of each box ."
matplotlib.axes.Axes.boxplot,x,"The input data .|||Make a box and whisker plot for each column of x or each vector in sequence x .|||Make a box and whisker plot for each column of x or each vector in sequence x . The box extends from the lower to upper quartile values of the data , with a line at the median . The whiskers extend from the box to show the range of the data . Flier points are those past the end of the whiskers ."
matplotlib.axes.Axes.broken_barh,_interpolation_steps,"Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing . This attribute is primarily an implementation detail and is not intended for public use .|||Used as a hint to certain projections , such as Polar , that this path should be linearly interpolated immediately before drawing ."
matplotlib.axes.Axes.broken_barh,agg_filter,set agg_filter fuction .
matplotlib.axes.Axes.broken_barh,alpha,Set the alpha tranparencies of the collection .
matplotlib.axes.Axes.broken_barh,anchor,anchor
matplotlib.axes.Axes.broken_barh,animated,Set the artist 's animation state .
matplotlib.axes.Axes.broken_barh,antialiased,Set the antialiasing state for rendering .
matplotlib.axes.Axes.broken_barh,array,Set the image array from numpy array A
matplotlib.axes.Axes.broken_barh,aspect,aspect
