Function,Utterance
matplotlib.collections.AsteriskPolygonCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.AsteriskPolygonCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.AsteriskPolygonCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.AsteriskPolygonCollection.get_animated,Return the artist 's animated state
matplotlib.collections.AsteriskPolygonCollection.get_array,Return the array
matplotlib.collections.AsteriskPolygonCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.AsteriskPolygonCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.AsteriskPolygonCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.AsteriskPolygonCollection.get_clip_box,Return artist clipbox
matplotlib.collections.AsteriskPolygonCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.AsteriskPolygonCollection.get_clip_path,Return artist clip path
matplotlib.collections.AsteriskPolygonCollection.get_cmap,return the colormap
matplotlib.collections.AsteriskPolygonCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.AsteriskPolygonCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.AsteriskPolygonCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.AsteriskPolygonCollection.get_fill,return whether fill is set
matplotlib.collections.AsteriskPolygonCollection.get_gid,Returns the group id
matplotlib.collections.AsteriskPolygonCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.AsteriskPolygonCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.AsteriskPolygonCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.AsteriskPolygonCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.AsteriskPolygonCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.AsteriskPolygonCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.AsteriskPolygonCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.AsteriskPolygonCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.AsteriskPolygonCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.AsteriskPolygonCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.AsteriskPolygonCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.AsteriskPolygonCollection.get_url,Returns the url
matplotlib.collections.AsteriskPolygonCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.AsteriskPolygonCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.AsteriskPolygonCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.AsteriskPolygonCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.AsteriskPolygonCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.AsteriskPolygonCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.AsteriskPolygonCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.AsteriskPolygonCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.AsteriskPolygonCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.AsteriskPolygonCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.AsteriskPolygonCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.AsteriskPolygonCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.AsteriskPolygonCollection.set,A property batch setter .
matplotlib.collections.AsteriskPolygonCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.AsteriskPolygonCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.AsteriskPolygonCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.AsteriskPolygonCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.AsteriskPolygonCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.AsteriskPolygonCollection.set_array,Set the image array from numpy array A
matplotlib.collections.AsteriskPolygonCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.AsteriskPolygonCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.AsteriskPolygonCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.AsteriskPolygonCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.AsteriskPolygonCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.AsteriskPolygonCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.AsteriskPolygonCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.AsteriskPolygonCollection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.AsteriskPolygonCollection.set_dashes,alias for set_linestyle
matplotlib.collections.AsteriskPolygonCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.AsteriskPolygonCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.AsteriskPolygonCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.AsteriskPolygonCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.AsteriskPolygonCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.AsteriskPolygonCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.AsteriskPolygonCollection.set_hatch,Set the hatching pattern
matplotlib.collections.AsteriskPolygonCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.AsteriskPolygonCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.AsteriskPolygonCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.AsteriskPolygonCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.AsteriskPolygonCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.AsteriskPolygonCollection.set_lw,alias for set_linewidth
matplotlib.collections.AsteriskPolygonCollection.set_norm,set the normalization instance
matplotlib.collections.AsteriskPolygonCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.AsteriskPolygonCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.AsteriskPolygonCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.AsteriskPolygonCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.AsteriskPolygonCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.AsteriskPolygonCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.AsteriskPolygonCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.AsteriskPolygonCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.AsteriskPolygonCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.AsteriskPolygonCollection.set_url,Sets the url for the artist
matplotlib.collections.AsteriskPolygonCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.AsteriskPolygonCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.AsteriskPolygonCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.AsteriskPolygonCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.AsteriskPolygonCollection.update_from,copy properties from other to self
matplotlib.collections.AsteriskPolygonCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.BrokenBarHCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.BrokenBarHCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.BrokenBarHCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.BrokenBarHCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.BrokenBarHCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.BrokenBarHCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.BrokenBarHCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.BrokenBarHCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.BrokenBarHCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.BrokenBarHCollection.findobj,Find artist objects .
matplotlib.collections.BrokenBarHCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.BrokenBarHCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.BrokenBarHCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.BrokenBarHCollection.get_animated,Return the artist 's animated state
matplotlib.collections.BrokenBarHCollection.get_array,Return the array
matplotlib.collections.BrokenBarHCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.BrokenBarHCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.BrokenBarHCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.BrokenBarHCollection.get_clip_box,Return artist clipbox
matplotlib.collections.BrokenBarHCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.BrokenBarHCollection.get_clip_path,Return artist clip path
matplotlib.collections.BrokenBarHCollection.get_cmap,return the colormap
matplotlib.collections.BrokenBarHCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.BrokenBarHCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.BrokenBarHCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.BrokenBarHCollection.get_fill,return whether fill is set
matplotlib.collections.BrokenBarHCollection.get_gid,Returns the group id
matplotlib.collections.BrokenBarHCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.BrokenBarHCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.BrokenBarHCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.BrokenBarHCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.BrokenBarHCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.BrokenBarHCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.BrokenBarHCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.BrokenBarHCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.BrokenBarHCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.BrokenBarHCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.BrokenBarHCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.BrokenBarHCollection.get_url,Returns the url
matplotlib.collections.BrokenBarHCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.BrokenBarHCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.BrokenBarHCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.BrokenBarHCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.BrokenBarHCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.BrokenBarHCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.BrokenBarHCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.BrokenBarHCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.BrokenBarHCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.BrokenBarHCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.BrokenBarHCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.BrokenBarHCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.BrokenBarHCollection.set,A property batch setter .
matplotlib.collections.BrokenBarHCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.BrokenBarHCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.BrokenBarHCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.BrokenBarHCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.BrokenBarHCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.BrokenBarHCollection.set_array,Set the image array from numpy array A
matplotlib.collections.BrokenBarHCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.BrokenBarHCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.BrokenBarHCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.BrokenBarHCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.BrokenBarHCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.BrokenBarHCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.BrokenBarHCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.BrokenBarHCollection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.BrokenBarHCollection.set_dashes,alias for set_linestyle
matplotlib.collections.BrokenBarHCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.BrokenBarHCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.BrokenBarHCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.BrokenBarHCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.BrokenBarHCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.BrokenBarHCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.BrokenBarHCollection.set_hatch,Set the hatching pattern
matplotlib.collections.BrokenBarHCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.BrokenBarHCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.BrokenBarHCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.BrokenBarHCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.BrokenBarHCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.BrokenBarHCollection.set_lw,alias for set_linewidth
matplotlib.collections.BrokenBarHCollection.set_norm,set the normalization instance
matplotlib.collections.BrokenBarHCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.BrokenBarHCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.BrokenBarHCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.BrokenBarHCollection.set_paths,This allows one to delay initialization of the vertices .
matplotlib.collections.BrokenBarHCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.BrokenBarHCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.BrokenBarHCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.BrokenBarHCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.BrokenBarHCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.BrokenBarHCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.BrokenBarHCollection.set_url,Sets the url for the artist
matplotlib.collections.BrokenBarHCollection.set_verts,This allows one to delay initialization of the vertices .
matplotlib.collections.BrokenBarHCollection.set_verts_and_codes,This allows one to initialize vertices with path codes .
matplotlib.collections.BrokenBarHCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.BrokenBarHCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.BrokenBarHCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.BrokenBarHCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.BrokenBarHCollection.update_from,copy properties from other to self
matplotlib.collections.BrokenBarHCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.CircleCollection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.CircleCollection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.CircleCollection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.CircleCollection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.CircleCollection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.CircleCollection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.CircleCollection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.CircleCollection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.CircleCollection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.CircleCollection.findobj,Find artist objects .
matplotlib.collections.CircleCollection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.CircleCollection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.CircleCollection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.CircleCollection.get_animated,Return the artist 's animated state
matplotlib.collections.CircleCollection.get_array,Return the array
matplotlib.collections.CircleCollection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.CircleCollection.get_children,Return a list of the child Artist`s this
matplotlib.collections.CircleCollection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.CircleCollection.get_clip_box,Return artist clipbox
matplotlib.collections.CircleCollection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.CircleCollection.get_clip_path,Return artist clip path
matplotlib.collections.CircleCollection.get_cmap,return the colormap
matplotlib.collections.CircleCollection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.CircleCollection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.CircleCollection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.CircleCollection.get_fill,return whether fill is set
matplotlib.collections.CircleCollection.get_gid,Returns the group id
matplotlib.collections.CircleCollection.get_hatch,Return the current hatching pattern
matplotlib.collections.CircleCollection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.CircleCollection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.CircleCollection.get_offsets,Return the offsets for the collection .
matplotlib.collections.CircleCollection.get_picker,Return the picker object used by this artist
matplotlib.collections.CircleCollection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.CircleCollection.get_sizes,Returns the sizes of the elements in the collection .
matplotlib.collections.CircleCollection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.CircleCollection.get_snap,Returns the snap setting which may be
matplotlib.collections.CircleCollection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.CircleCollection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.CircleCollection.get_url,Returns the url
matplotlib.collections.CircleCollection.get_visible,Return the artist 's visiblity
matplotlib.collections.CircleCollection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.CircleCollection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.CircleCollection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.CircleCollection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.CircleCollection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.CircleCollection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.CircleCollection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.CircleCollection.pickable,Return True if Artist is pickable .
matplotlib.collections.CircleCollection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.CircleCollection.remove,Remove the artist from the figure if possible .
matplotlib.collections.CircleCollection.remove_callback,Remove a callback based on its id .
matplotlib.collections.CircleCollection.set,A property batch setter .
matplotlib.collections.CircleCollection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.CircleCollection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.CircleCollection.set_animated,Set the artist 's animation state .
matplotlib.collections.CircleCollection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.CircleCollection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.CircleCollection.set_array,Set the image array from numpy array A
matplotlib.collections.CircleCollection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.CircleCollection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.CircleCollection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.CircleCollection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.CircleCollection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.CircleCollection.set_cmap,set the colormap for luminance data
matplotlib.collections.CircleCollection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.CircleCollection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.CircleCollection.set_dashes,alias for set_linestyle
matplotlib.collections.CircleCollection.set_edgecolor,Set the edgecolor(s ) of the collection .
matplotlib.collections.CircleCollection.set_edgecolors,alias for set_edgecolor
matplotlib.collections.CircleCollection.set_facecolor,Set the facecolor(s ) of the collection .
matplotlib.collections.CircleCollection.set_facecolors,alias for set_facecolor
matplotlib.collections.CircleCollection.set_figure,Set the Figure instance the artist belongs to .
matplotlib.collections.CircleCollection.set_gid,Sets the ( group ) id for the artist
matplotlib.collections.CircleCollection.set_hatch,Set the hatching pattern
matplotlib.collections.CircleCollection.set_label,Set the label to s for auto legend .
matplotlib.collections.CircleCollection.set_linestyle,Set the linestyle(s ) for the collection .
matplotlib.collections.CircleCollection.set_linestyles,alias for set_linestyle
matplotlib.collections.CircleCollection.set_linewidth,Set the linewidth(s ) for the collection .
matplotlib.collections.CircleCollection.set_linewidths,alias for set_linewidth
matplotlib.collections.CircleCollection.set_lw,alias for set_linewidth
matplotlib.collections.CircleCollection.set_norm,set the normalization instance
matplotlib.collections.CircleCollection.set_offset_position,Set how offsets are applied .
matplotlib.collections.CircleCollection.set_offsets,Set the offsets for the collection .
matplotlib.collections.CircleCollection.set_path_effects,"set path_effects , which should be a list of instances of matplotlib.patheffect._Base class or its derivatives ."
matplotlib.collections.CircleCollection.set_picker,Set the epsilon for picking used by this artist
matplotlib.collections.CircleCollection.set_rasterized,Force rasterized ( bitmap ) drawing in vector backend output .
matplotlib.collections.CircleCollection.set_sizes,Set the sizes of each member of the collection .
matplotlib.collections.CircleCollection.set_sketch_params,Sets the sketch parameters .
matplotlib.collections.CircleCollection.set_snap,Sets the snap setting which may be
matplotlib.collections.CircleCollection.set_transform,Set the Transform instance used by this artist .
matplotlib.collections.CircleCollection.set_url,Sets the url for the artist
matplotlib.collections.CircleCollection.set_visible,Set the artist 's visiblity .
matplotlib.collections.CircleCollection.set_zorder,Set the zorder for the artist .
matplotlib.collections.CircleCollection.to_rgba,Return a normalized rgba array corresponding to x .
matplotlib.collections.CircleCollection.update,Update the properties of this Artist from the dictionary prop .
matplotlib.collections.CircleCollection.update_from,copy properties from other to self
matplotlib.collections.CircleCollection.update_scalarmappable,"If the scalar mappable array is not none , update colors from scalar data"
matplotlib.collections.Collection.add_callback,Adds a callback function that will be called whenever one of the Artist 's properties changes .
matplotlib.collections.Collection.add_checker,Add an entry to a dictionary of boolean flags that are set to True when the mappable is changed .
matplotlib.collections.Collection.autoscale,Autoscale the scalar limits on the norm instance using the current array
matplotlib.collections.Collection.autoscale_None,"Autoscale the scalar limits on the norm instance using the current array , changing only limits that are None"
matplotlib.collections.Collection.changed,Call this whenever the mappable is changed to notify all the callbackSM listeners to the ' changed ' signal
matplotlib.collections.Collection.check_update,"If mappable has changed since the last check , return True ; else return False"
matplotlib.collections.Collection.contains,Test whether the mouse event occurred in the collection .
matplotlib.collections.Collection.convert_xunits,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.collections.Collection.convert_yunits,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.collections.Collection.findobj,Find artist objects .
matplotlib.collections.Collection.format_cursor_data,Return cursor data string formatted .
matplotlib.collections.Collection.get_agg_filter,return filter function to be used for agg filter
matplotlib.collections.Collection.get_alpha,Return the alpha value used for blending - not supported on all backends
matplotlib.collections.Collection.get_animated,Return the artist 's animated state
matplotlib.collections.Collection.get_array,Return the array
matplotlib.collections.Collection.get_axes,"Return the Axes instance the artist resides in , or None ."
matplotlib.collections.Collection.get_children,Return a list of the child Artist`s this
matplotlib.collections.Collection.get_clim,"return the min , max of the color limits for image scaling"
matplotlib.collections.Collection.get_clip_box,Return artist clipbox
matplotlib.collections.Collection.get_clip_on,Return whether artist uses clipping
matplotlib.collections.Collection.get_clip_path,Return artist clip path
matplotlib.collections.Collection.get_cmap,return the colormap
matplotlib.collections.Collection.get_contains,"Return the _ contains test used by the artist , or None for default ."
matplotlib.collections.Collection.get_cursor_data,Get the cursor data for a given event .
matplotlib.collections.Collection.get_figure,Return the Figure instance the artist belongs to .
matplotlib.collections.Collection.get_fill,return whether fill is set
matplotlib.collections.Collection.get_gid,Returns the group id
matplotlib.collections.Collection.get_hatch,Return the current hatching pattern
matplotlib.collections.Collection.get_label,Get the label used for this artist in the legend .
matplotlib.collections.Collection.get_offset_position,Returns how offsets are applied for the collection .
matplotlib.collections.Collection.get_offsets,Return the offsets for the collection .
matplotlib.collections.Collection.get_picker,Return the picker object used by this artist
matplotlib.collections.Collection.get_rasterized,return True if the artist is to be rasterized
matplotlib.collections.Collection.get_sketch_params,Returns the sketch parameters for the artist .
matplotlib.collections.Collection.get_snap,Returns the snap setting which may be
matplotlib.collections.Collection.get_transform,Return the Transform instance used by this artist .
matplotlib.collections.Collection.get_transformed_clip_path_and_affine,"Return the clip path with the non-affine part of its transformation applied , and the remaining affine part of its transformation ."
matplotlib.collections.Collection.get_url,Returns the url
matplotlib.collections.Collection.get_visible,Return the artist 's visiblity
matplotlib.collections.Collection.get_zorder,Return the Artist 's zorder .
matplotlib.collections.Collection.have_units,Return True if units are set on the x or y axes
matplotlib.collections.Collection.hitlist,List the children of the artist which contain the mouse event event .
matplotlib.collections.Collection.is_figure_set,Returns True if the artist is assigned to a Figure .
matplotlib.collections.Collection.is_transform_set,Returns True if Artist has a transform explicitly set .
matplotlib.collections.Collection.pchanged,"Fire an event when property changed , calling all of the registered callbacks ."
matplotlib.collections.Collection.pick,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.collections.Collection.pickable,Return True if Artist is pickable .
matplotlib.collections.Collection.properties,return a dictionary mapping property name - > value for all Artist props
matplotlib.collections.Collection.remove,Remove the artist from the figure if possible .
matplotlib.collections.Collection.remove_callback,Remove a callback based on its id .
matplotlib.collections.Collection.set,A property batch setter .
matplotlib.collections.Collection.set_agg_filter,set agg_filter fuction .
matplotlib.collections.Collection.set_alpha,Set the alpha tranparencies of the collection .
matplotlib.collections.Collection.set_animated,Set the artist 's animation state .
matplotlib.collections.Collection.set_antialiased,Set the antialiasing state for rendering .
matplotlib.collections.Collection.set_antialiaseds,alias for set_antialiased
matplotlib.collections.Collection.set_array,Set the image array from numpy array A
matplotlib.collections.Collection.set_axes,"Set the Axes instance in which the artist resides , if any ."
matplotlib.collections.Collection.set_clim,"set the norm limits for image scaling ; if vmin is a length2 sequence , interpret it as ( vmin , vmax ) which is used to support setp"
matplotlib.collections.Collection.set_clip_box,Set the artist 's clip Bbox .
matplotlib.collections.Collection.set_clip_on,Set whether artist uses clipping .
matplotlib.collections.Collection.set_clip_path,"Set the artist 's clip path , which may be"
matplotlib.collections.Collection.set_cmap,set the colormap for luminance data
matplotlib.collections.Collection.set_color,Set both the edgecolor and the facecolor .
matplotlib.collections.Collection.set_contains,Replace the contains test used by this artist .
matplotlib.collections.Collection.set_dashes,alias for set_linestyle
