elem_id,name,full_name,type,parent_id,rtype,count,utter,utter_expand
plt.xcorr@linestyle,linestyle,matplotlib.pyplot.xcorr@linestyle,arg,plt.xcorr,,0,"set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps","set the linestyle of the line ( also accepts drawstyles , e.g. , ' steps - - ' )"
plt.arrow@antialiased,antialiased,matplotlib.pyplot.arrow@antialiased,arg,plt.arrow,,0,set whether to use antialiased rendering,set whether to use antialiased rendering
ax.plot_date@tz,tz,matplotlib.axes.Axes.plot_date@tz,arg,ax.plot_date,,0,"the time zone to use in labeling dates . if none , defaults to rc","the time zone to use in labeling dates . if none , defaults to rc value ."
ax.hist2d@cmin,cmin,matplotlib.axes.Axes.hist2d@cmin,arg,ax.hist2d,,0,all bins that has count less than cmin will not be displayed and these count,all bins that has count less than cmin will not be displayed and these count values in the return value count histogram will also be set to nan upon return
ax.fill@url,url,matplotlib.axes.Axes.fill@url,arg,ax.fill,,0,sets the url for the artist,sets the url for the artist
plt.gca.natural_earth_shp,natural_earth_shp,matplotlib.axes.Axes.natural_earth_shp,func,plt.gca,,2,,
mpl.collections.EventCollection.get_transform,get_transform,matplotlib.collections.EventCollection.get_transform,func,mpl.collections.EventCollection,,0,return the transform instance used by this artist .,return the transform instance used by this artist .
mpl.collections.PatchCollection.get_zorder,get_zorder,matplotlib.collections.PatchCollection.get_zorder,func,mpl.collections.PatchCollection,,0,return the artist 's zorder .,return the artist 's zorder .
plt.axis.fill_between@linewidth,linewidth,matplotlib.pyplot.axis.fill_between@linewidth,arg,plt.axis.fill_between,,2,,
plt.barbs@cursor_props,cursor_props,matplotlib.pyplot.barbs@cursor_props,arg,plt.barbs,,0,set the cursor property as,set the cursor property as
mpl.finance.volume_overlay@width,width,matplotlib.finance.volume_overlay@width,arg,mpl.finance.volume_overlay,,0,the bar width in points,the bar width in points
mpl.collections.TriMesh.get_offset_position,get_offset_position,matplotlib.collections.TriMesh.get_offset_position,func,mpl.collections.TriMesh,,0,returns how offsets are applied for the collection .,returns how offsets are applied for the collection .
ax.grid@hatch,hatch,matplotlib.axes.Axes.grid@hatch,arg,ax.grid,,0,set the hatching pattern,set the hatching pattern
mpl.collections.PolyCollection.get_clim,get_clim,matplotlib.collections.PolyCollection.get_clim,func,mpl.collections.PolyCollection,,0,"return the min , max of the color limits for image scaling","return the min , max of the color limits for image scaling"
plt.text.set_ha,set_ha,matplotlib.pyplot.text.set_ha,func,plt.text,,3,,
plt.colorbar.ax.yaxis.label.append@0,0,matplotlib.pyplot.colorbar.ax.yaxis.label.append@0,arg,plt.colorbar.ax.yaxis.label.append,,4,,
plt.pyplot.pie@autopct,autopct,matplotlib.pyplot.pyplot.pie@autopct,arg,plt.pyplot.pie,,1,,
plt.axvline@figure,figure,matplotlib.pyplot.axvline@figure,arg,plt.axvline,,0,set the figure instance the artist belongs to .,set the figure instance the artist belongs to .
plt.matplotlib.pyplot.figure.add_subplot.get_xaxis.tick_bottom,tick_bottom,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.get_xaxis.tick_bottom,func,plt.matplotlib.pyplot.figure.add_subplot.get_xaxis,,1,,
mpl.collections.RegularPolyCollection.set_edgecolors,set_edgecolors,matplotlib.collections.RegularPolyCollection.set_edgecolors,func,mpl.collections.RegularPolyCollection,,0,alias for set_edgecolor,alias for set_edgecolor
plt.gca.yaxis.set_ticklabels,set_ticklabels,matplotlib.axes.Axes.yaxis.set_ticklabels,func,plt.gca.yaxis,,12,,
mpl.finance.plot_day_summary2_ohlc@closes,closes,matplotlib.finance.plot_day_summary2_ohlc@closes,arg,mpl.finance.plot_day_summary2_ohlc,,0,"represent the time , open , high , low , close as a vertical line","represent the time , open , high , low , close as a vertical line ranging from low to high ."
mpl.collections.EllipseCollection.set_agg_filter,set_agg_filter,matplotlib.collections.EllipseCollection.set_agg_filter,func,mpl.collections.EllipseCollection,,0,set agg_filter fuction .,set agg_filter fuction .
plt.twiny.set_xticks,set_xticks,matplotlib.pyplot.twiny.set_xticks,func,plt.twiny,,55,,
plt.specgram@freqs,freqs,matplotlib.pyplot.specgram@freqs,arg,plt.specgram,,0,"returns the tuple ( spectrum , freqs , t , im ) :","returns the tuple ( spectrum , freqs , t , im ) :"
ax.violin@vert,vert,matplotlib.axes.Axes.violin@vert,arg,ax.violin,,0,"if true , plots the violins veritcally .","if true , plots the violins veritcally ."
mpl.lines.segment_hits,segment_hits,matplotlib.lines.segment_hits,func,mpl.lines,,0,determine if any line segments are within radius of a point .,determine if any line segments are within radius of a point .
ax.set_xticklabels@color,color,matplotlib.axes.Axes.set_xticklabels@color,arg,ax.set_xticklabels,,0,set the foreground color of the text,set the foreground color of the text
plt.gca.yaxis.get_offset_text.set_color@0,0,matplotlib.axes.Axes.yaxis.get_offset_text.set_color@0,arg,plt.gca.yaxis.get_offset_text.set_color,,7,,
plt.annotate@visible,visible,matplotlib.pyplot.annotate@visible,arg,plt.annotate,,0,set the artist 's visiblity .,set the artist 's visiblity .
plt.matplotlib.pyplot.figure.add_subplot.add_collection@0,0,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.add_collection@0,arg,plt.matplotlib.pyplot.figure.add_subplot.add_collection,,3,,
plt.Polygon@zorder,zorder,matplotlib.pyplot.Polygon@zorder,arg,plt.Polygon,,2,,
mpl.finance.plot_day_summary_oclh,plot_day_summary_oclh,matplotlib.finance.plot_day_summary_oclh,func,mpl.finance,,0,plots day summary,plots day summary
ax.plot@clip_box,clip_box,matplotlib.axes.Axes.plot@clip_box,arg,ax.plot,,0,set the artist 's clip bbox .,set the artist 's clip bbox .
plt.title.set_visible,set_visible,matplotlib.pyplot.title.set_visible,func,plt.title,,12,,
ax.eventplot@offset_position,offset_position,matplotlib.axes.Axes.eventplot@offset_position,arg,ax.eventplot,,0,set how offsets are applied .,set how offsets are applied .
plt.figure.transFigure.inverted.transform_point@0,0,matplotlib.pyplot.figure.transFigure.inverted.transform_point@0,arg,plt.figure.transFigure.inverted.transform_point,,1,,
mpl.backend_bases.RendererBase.draw_gouraud_triangle@colors,colors,matplotlib.backend_bases.RendererBase.draw_gouraud_triangle@colors,arg,mpl.backend_bases.RendererBase.draw_gouraud_triangle,,0,colors is a 3x4 array of rgba colors for each point of the triangle .,colors is a 3x4 array of rgba colors for each point of the triangle .
mpl.widgets.Slider.disconnect,disconnect,matplotlib.widgets.Slider.disconnect,func,mpl.widgets.Slider,,0,remove the observer with connection id cid,remove the observer with connection id cid
plt.matplotlib.pyplot.figure.add_subplot.text@fontsize,fontsize,matplotlib.pyplot.matplotlib.pyplot.figure.add_subplot.text@fontsize,arg,plt.matplotlib.pyplot.figure.add_subplot.text,,1,,
plt.plot.rstrip.rstrip.rstrip,rstrip,matplotlib.pyplot.plot.rstrip.rstrip.rstrip,func,plt.plot.rstrip.rstrip,,1,,
plt.figure._cachedRenderer.new_gc._cliprect,_cliprect,matplotlib.pyplot.figure._cachedRenderer.new_gc._cliprect,func,plt.figure._cachedRenderer.new_gc,,1,,
plt.contour.collections.set_linestyle@0,0,matplotlib.pyplot.contour.collections.set_linestyle@0,arg,plt.contour.collections.set_linestyle,,2,,
plt.figtext@multialignment,multialignment,matplotlib.pyplot.figtext@multialignment,arg,plt.figtext,,12,set the alignment for multiple lines layout .,set the alignment for multiple lines layout .
ax.set_xticklabels@picker,picker,matplotlib.axes.Axes.set_xticklabels@picker,arg,ax.set_xticklabels,,0,set the epsilon for picking used by this artist,set the epsilon for picking used by this artist
mpl.collections.EventCollection.set_sketch_params@randomness,randomness,matplotlib.collections.EventCollection.set_sketch_params@randomness,arg,mpl.collections.EventCollection.set_sketch_params,,0,the scale factor by which the length is shrunken or expanded ( default 16.0 ),the scale factor by which the length is shrunken or expanded ( default 16.0 )
plt.twinx.set_ylabel@va,va,matplotlib.pyplot.twinx.set_ylabel@va,arg,plt.twinx.set_ylabel,,1,,
plt.Axes.__init__,__init__,matplotlib.pyplot.Axes.__init__,func,plt.Axes,,1,,
plt.colorbar.ax.get_xaxis.get_major_ticks.label1.set_fontsize,set_fontsize,matplotlib.pyplot.colorbar.ax.get_xaxis.get_major_ticks.label1.set_fontsize,func,plt.colorbar.ax.get_xaxis.get_major_ticks.label1,,3,,
mpl.axis.Axis.get_majorticklocs,get_majorticklocs,matplotlib.axis.Axis.get_majorticklocs,func,mpl.axis.Axis,,0,get the major tick locations in data coordinates as a numpy array,get the major tick locations in data coordinates as a numpy array
plt.gca.yaxis.ravel.set_ylabel,set_ylabel,matplotlib.axes.Axes.yaxis.ravel.set_ylabel,func,plt.gca.yaxis.ravel,,1,,
ax.axvline@anchor,anchor,matplotlib.axes.Axes.axvline@anchor,arg,ax.axvline,,0,anchor,anchor
plt.contour.collections.get_paths,get_paths,matplotlib.pyplot.contour.collections.get_paths,func,plt.contour.collections,,22,,
ax.quiver,quiver,matplotlib.axes.Axes.quiver,func,ax,,0,plot a 2-d field of arrows .,plot a 2-d field of arrows .
ax.axvspan@rasterized,rasterized,matplotlib.axes.Axes.axvspan@rasterized,arg,ax.axvspan,,0,force rasterized ( bitmap ) drawing in vector backend output .,force rasterized ( bitmap ) drawing in vector backend output .
mpl.collections.LineCollection.convert_xunits,convert_xunits,matplotlib.collections.LineCollection.convert_xunits,func,mpl.collections.LineCollection,,0,"for artists in an axes , if the xaxis has units support , convert x","for artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
mpl.collections.Collection.set_clip_box,set_clip_box,matplotlib.collections.Collection.set_clip_box,func,mpl.collections.Collection,,0,set the artist 's clip bbox .,set the artist 's clip bbox .
plt.gca.yaxis._set_scale@0,0,matplotlib.axes.Axes.yaxis._set_scale@0,arg,plt.gca.yaxis._set_scale,,1,,
plt.gca.ravel.contour@colors,colors,matplotlib.axes.Axes.ravel.contour@colors,arg,plt.gca.ravel.contour,,1,,
mpl.collections.EventCollection.remove@autolim,autolim,matplotlib.collections.EventCollection.remove@autolim,arg,mpl.collections.EventCollection.remove,,0,note : relim ( ) will not see collections even if the collection was added,note : relim ( ) will not see collections even if the collection was added to axes with autolim = true .
plt.gca.imshow@vmin,vmin,matplotlib.pyplot.imshow@vmin,arg,plt.gca.imshow,,1,,
plt.colorbar.ax.tick_params,tick_params,matplotlib.pyplot.colorbar.ax.tick_params,func,plt.colorbar.ax,,25,,
mpl.mlab.vector_lengths@n,n,matplotlib.mlab.vector_lengths@n,arg,mpl.mlab.vector_lengths,,0,finds the length of a set of vectors in n dimensions .,finds the length of a set of vectors in n dimensions .
mpl.collections.LineCollection.update@prop,prop,matplotlib.collections.LineCollection.update@prop,arg,mpl.collections.LineCollection.update,,0,update the properties of this artist from the dictionary prop .,update the properties of this artist from the dictionary prop .
ax.semilogy@xlim,xlim,matplotlib.axes.Axes.semilogy@xlim,arg,ax.semilogy,,0,set the data limits for the xaxis,set the data limits for the xaxis
plt.axhline@_interpolation_steps,_interpolation_steps,matplotlib.pyplot.axhline@_interpolation_steps,arg,plt.axhline,,0,"used as a hint to certain projections , such as polar , that this path","used as a hint to certain projections , such as polar , that this path should be linearly interpolated immediately before drawing . this attribute is primarily an implementation detail and is not intended for public use ."
plt.gca.get_ydata,get_ydata,matplotlib.axes.Axes.get_ydata,func,plt.gca,,1,,
plt.semilogy@lw,lw,matplotlib.pyplot.semilogy@lw,arg,plt.semilogy,,12,,
ax.plot_date@size_inches,size_inches,matplotlib.axes.Axes.plot_date@size_inches,arg,ax.plot_date,,0,set the figure size in inches ( 1in = = 2.54cm ),set the figure size in inches ( 1in = = 2.54cm )
plt.gca._matplottheme_color_cycle_iter,_matplottheme_color_cycle_iter,matplotlib.axes.Axes._matplottheme_color_cycle_iter,func,plt.gca,,5,,
mpl.artist.Artist.set_sketch_params@randomness,randomness,matplotlib.artist.Artist.set_sketch_params@randomness,arg,mpl.artist.Artist.set_sketch_params,,0,the scale factor by which the length is shrunken or expanded ( default 16.0 ),the scale factor by which the length is shrunken or expanded ( default 16.0 )
plt.Subplot.grid,grid,matplotlib.pyplot.Subplot.grid,func,plt.Subplot,,1,,
mpl.tri.TrapezoidMapTriFinder.__call__,__call__,matplotlib.tri.TrapezoidMapTriFinder.__call__,func,mpl.tri.TrapezoidMapTriFinder,,0,"return an array containing the indices of the triangles in which the specified x,y points","return an array containing the indices of the triangles in which the specified x,y points lie , or - 1 for points that do not lie within a triangle ."
plt.Axes.axis,axis,matplotlib.pyplot.Axes.axis,func,plt.Axes,,1,,
ax.phase_spectrum@sketch_params,sketch_params,matplotlib.axes.Axes.phase_spectrum@sketch_params,arg,ax.phase_spectrum,,0,sets the sketch parameters .,sets the sketch parameters .
plt.rcParams.update@0@ytick.major.pad,ytick.major.pad,matplotlib.pyplot.rcParams.update@0@ytick.major.pad,argkey,plt.rcParams.update@0,,2,,
plt.axvspan@lw,lw,matplotlib.pyplot.axvspan@lw,arg,plt.axvspan,,4,,
plt.annotate.set_bbox@0@alpha,alpha,matplotlib.pyplot.annotate.set_bbox@0@alpha,argkey,plt.annotate.set_bbox@0,,1,,
mpl.collections.PatchCollection.set_linestyle@ls,ls,matplotlib.collections.PatchCollection.set_linestyle@ls,arg,mpl.collections.PatchCollection.set_linestyle,,0,the line style .,the line style .
plt.text.set_y@0,0,matplotlib.pyplot.text.set_y@0,arg,plt.text.set_y,,1,,
plt.errorbar@rasterized,rasterized,matplotlib.pyplot.errorbar@rasterized,arg,plt.errorbar,,0,force rasterized ( bitmap ) drawing in vector backend output .,force rasterized ( bitmap ) drawing in vector backend output .
plt.gca.get_position.splitx,splitx,matplotlib.axes.Axes.get_position.splitx,func,plt.gca.get_position,,2,,
plt.text.contains,contains,matplotlib.pyplot.text.contains,func,plt.text,,4,,
plt.colorbar.ax.yaxis.label,label,matplotlib.pyplot.colorbar.ax.yaxis.label,func,plt.colorbar.ax.yaxis,,16,,
mpl.collections.AsteriskPolygonCollection.to_rgba@x,x,matplotlib.collections.AsteriskPolygonCollection.to_rgba@x,arg,mpl.collections.AsteriskPolygonCollection.to_rgba,,0,"there is one special case , for handling images that are already rgb or rgba","there is one special case , for handling images that are already rgb or rgba , such as might have been read from an image file ."
ax.broken_barh@edgecolor,edgecolor,matplotlib.axes.Axes.broken_barh@edgecolor,arg,ax.broken_barh,,0,set the edgecolor(s ) of the collection .,set the edgecolor(s ) of the collection .
mpl.lines.VertexSelector.process_selected@ys,ys,matplotlib.lines.VertexSelector.process_selected@ys,arg,mpl.lines.VertexSelector.process_selected,,0,ind are the indices of the selected vertices . xs and ys are the coordinates,ind are the indices of the selected vertices . xs and ys are the coordinates of the selected vertices .
plt.matplotlib.pyplot.scatter@color,color,matplotlib.pyplot.matplotlib.pyplot.scatter@color,arg,plt.matplotlib.pyplot.scatter,,2,,
ax.broken_barh@aspect,aspect,matplotlib.axes.Axes.broken_barh@aspect,arg,ax.broken_barh,,0,aspect,aspect
plt.tricontourf@z,z,matplotlib.pyplot.tricontourf@z,arg,plt.tricontourf,,0,there is one exception : if the lowest boundary coincides with the minimum value of,"there is one exception : if the lowest boundary coincides with the minimum value of the z array , then that minimum value will be included in the lowest interval ."
plt.gca.set_aspect@0,0,matplotlib.axes.Axes.set_aspect@0,arg,plt.gca.set_aspect,,642,,
mpl.collections.EventCollection.set_sketch_params@scale,scale,matplotlib.collections.EventCollection.set_sketch_params@scale,arg,mpl.collections.EventCollection.set_sketch_params,,0,"the amplitude of the wiggle perpendicular to the source line , in pixels . if","the amplitude of the wiggle perpendicular to the source line , in pixels . if scale is none , or not provided , no sketch filter will be provided ."
mpl.lines.Line2D.set_dash_capstyle,set_dash_capstyle,matplotlib.lines.Line2D.set_dash_capstyle,func,mpl.lines.Line2D,,0,set the cap style for dashed linestyles,set the cap style for dashed linestyles
ax.angle_spectrum@solid_capstyle,solid_capstyle,matplotlib.axes.Axes.angle_spectrum@solid_capstyle,arg,ax.angle_spectrum,,0,set the cap style for solid linestyles,set the cap style for solid linestyles
plt.twinx.get_yticklines@0,0,matplotlib.pyplot.twinx.get_yticklines@0,arg,plt.twinx.get_yticklines,,2,,
plt.twinx.get_yticklines@1,1,matplotlib.pyplot.twinx.get_yticklines@1,arg,plt.twinx.get_yticklines,,2,,
ax.arrow@position,position,matplotlib.axes.Axes.arrow@position,arg,ax.arrow,,0,set the axes position with,set the axes position with
ax.pcolormesh@aspect,aspect,matplotlib.axes.Axes.pcolormesh@aspect,arg,ax.pcolormesh,,0,aspect,aspect
ax.axhline@solid_capstyle,solid_capstyle,matplotlib.axes.Axes.axhline@solid_capstyle,arg,ax.axhline,,0,set the cap style for solid linestyles,set the cap style for solid linestyles
plt.figure.canvas.button_press_event,button_press_event,matplotlib.pyplot.figure.canvas.button_press_event,func,plt.figure.canvas,,1,,
ax.angle_spectrum@line,line,matplotlib.axes.Axes.angle_spectrum@line,arg,ax.angle_spectrum,,0,"returns the tuple ( spectrum , freqs , line ) :","returns the tuple ( spectrum , freqs , line ) :"
mpl.artist.getp@prop_cycle,prop_cycle,matplotlib.artist.getp@prop_cycle,arg,mpl.artist.getp,,0,set the property cycle for any future plot commands on this axes .,set the property cycle for any future plot commands on this axes .
plt.barbs@cmap,cmap,matplotlib.pyplot.barbs@cmap,arg,plt.barbs,,4,set the colormap for luminance data,set the colormap for luminance data
plt.gca.pcolorfast@vmin,vmin,matplotlib.axes.Axes.pcolorfast@vmin,arg,plt.gca.pcolorfast,,4,vmin and vmax are used in conjunction with norm to normalize luminance data .,vmin and vmax are used in conjunction with norm to normalize luminance data .
ax.psd@dash_capstyle,dash_capstyle,matplotlib.axes.Axes.psd@dash_capstyle,arg,ax.psd,,0,set the cap style for dashed linestyles,set the cap style for dashed linestyles
mpl.collections.PathCollection.set_facecolors,set_facecolors,matplotlib.collections.PathCollection.set_facecolors,func,mpl.collections.PathCollection,,0,alias for set_facecolor,alias for set_facecolor
plt.gca.get_yaxis.get_major_locator.set_params@nbins,nbins,matplotlib.axes.Axes.get_yaxis.get_major_locator.set_params@nbins,arg,plt.gca.get_yaxis.get_major_locator.set_params,,1,,
plt.shape.sum,sum,matplotlib.pyplot.shape.sum,func,plt.shape,,6,,
plt.scatter.set_lw,set_lw,matplotlib.pyplot.scatter.set_lw,func,plt.scatter,,1,,
mpl.artist.getp@ylim,ylim,matplotlib.artist.getp@ylim,arg,mpl.artist.getp,,0,set the data limits for the yaxis,set the data limits for the yaxis
plt.gca.yaxis.get_offset_text.set_size,set_size,matplotlib.axes.Axes.yaxis.get_offset_text.set_size,func,plt.gca.yaxis.get_offset_text,,5,,
mpl.collections.LineCollection.hitlist@event,event,matplotlib.collections.LineCollection.hitlist@event,arg,mpl.collections.LineCollection.hitlist,,0,list the children of the artist which contain the mouse event event .,list the children of the artist which contain the mouse event event .
mpl.finance.volume_overlay3@colorup,colorup,matplotlib.finance.volume_overlay3@colorup,arg,mpl.finance.volume_overlay3,,0,the color of the lines where close1 > = close0,the color of the lines where close1 > = close0
mpl.collections.StarPolygonCollection.get_offset_position,get_offset_position,matplotlib.collections.StarPolygonCollection.get_offset_position,func,mpl.collections.StarPolygonCollection,,0,returns how offsets are applied for the collection .,returns how offsets are applied for the collection .
plt.gca.lines.pop,pop,matplotlib.axes.Axes.lines.pop,func,plt.gca.lines,,6,,
ax.semilogy@rasterized,rasterized,matplotlib.axes.Axes.semilogy@rasterized,arg,ax.semilogy,,0,force rasterized ( bitmap ) drawing in vector backend output .,force rasterized ( bitmap ) drawing in vector backend output .
mpl.collections.TriMesh.convert_yunits@y,y,matplotlib.collections.TriMesh.convert_yunits@y,arg,mpl.collections.TriMesh.convert_yunits,,0,"for artists in an axes , if the yaxis has units support , convert y","for artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
plt.boxplot.update@0@color,color,matplotlib.pyplot.boxplot.update@0@color,argkey,plt.boxplot.update@0,,1,,
plt.rgrids@0,0,matplotlib.pyplot.rgrids@0,arg,plt.rgrids,,34,,
plt.gca.set_axes_locator@0,0,matplotlib.axes.Axes.set_axes_locator@0,arg,plt.gca.set_axes_locator,,44,,
mpl.backend_managers.ToolManager.get_tool@warn,warn,matplotlib.backend_managers.ToolManager.get_tool@warn,arg,mpl.backend_managers.ToolManager.get_tool,,0,if this method should give warnings .,if this method should give warnings .
mpl.colorbar.ColorbarBase.update_ticks,update_ticks,matplotlib.colorbar.ColorbarBase.update_ticks,func,mpl.colorbar.ColorbarBase,,0,force the update of the ticks and ticklabels .,force the update of the ticks and ticklabels .
plt.axis.flat.set_xlabel,set_xlabel,matplotlib.pyplot.axis.flat.set_xlabel,func,plt.axis.flat,,1,,
plt.hist@orientation,orientation,matplotlib.pyplot.hist@orientation,arg,plt.hist,,52,"if ' horizontal ' , barh will be used for bar-type histograms and the bottom","if ' horizontal ' , barh will be used for bar-type histograms and the bottom kwarg will be the left edges ."
mpl.collections.CircleCollection.set_alpha@alpha,alpha,matplotlib.collections.CircleCollection.set_alpha@alpha,arg,mpl.collections.CircleCollection.set_alpha,,0,set the alpha tranparencies of the collection . alpha must be a float or none,set the alpha tranparencies of the collection . alpha must be a float or none .
plt.pcolormesh,pcolormesh,matplotlib.pyplot.pcolormesh,func,plt,,532,plot a quadrilateral mesh .,plot a quadrilateral mesh .
plt.semilogx@xticks,xticks,matplotlib.pyplot.semilogx@xticks,arg,plt.semilogx,,0,set the x ticks with list of ticks,set the x ticks with list of ticks
mpl.collections.EventCollection.set_sketch_params@length,length,matplotlib.collections.EventCollection.set_sketch_params@length,arg,mpl.collections.EventCollection.set_sketch_params,,0,"the length of the wiggle along the line , in pixels ( default 128.0 )","the length of the wiggle along the line , in pixels ( default 128.0 )"
ax.magnitude_spectrum@xlabel,xlabel,matplotlib.axes.Axes.magnitude_spectrum@xlabel,arg,ax.magnitude_spectrum,,0,set the label for the xaxis .,set the label for the xaxis .
plt.gca.transData.get_bbox1.ll,ll,matplotlib.axes.Axes.transData.get_bbox1.ll,func,plt.gca.transData.get_bbox1,,1,,
plt.polar.rstrip.split.inaxes.text,text,matplotlib.pyplot.polar.rstrip.split.inaxes.text,func,plt.polar.rstrip.split.inaxes,,1,,
plt.plot@picker,picker,matplotlib.pyplot.plot@picker,arg,plt.plot,,43,sets the event picker details for the line .,sets the event picker details for the line .
mpl.text.Text.set_clip_box,set_clip_box,matplotlib.text.Text.set_clip_box,func,mpl.text.Text,,0,set the artist 's clip bbox .,set the artist 's clip bbox .
mpl.backend_bases.ToolContainerBase.toggle_toolitem,toggle_toolitem,matplotlib.backend_bases.ToolContainerBase.toggle_toolitem,func,mpl.backend_bases.ToolContainerBase,,0,toggle the toolitem without firing event,toggle the toolitem without firing event
plt.psd@url,url,matplotlib.pyplot.psd@url,arg,plt.psd,,0,sets the url for the artist,sets the url for the artist
plt.gca.set_zlabel@0,0,matplotlib.axes.Axes.set_zlabel@0,arg,plt.gca.set_zlabel,,388,,
plt.cm.gray.set_bad@0,0,matplotlib.pyplot.cm.gray.set_bad@0,arg,plt.cm.gray.set_bad,,6,,
plt.cm.gray.set_bad@1,1,matplotlib.pyplot.cm.gray.set_bad@1,arg,plt.cm.gray.set_bad,,1,,
plt.get_current_fig_manager.toolbar.actions.triggered.connect@0,0,matplotlib.pyplot.get_current_fig_manager.toolbar.actions.triggered.connect@0,arg,plt.get_current_fig_manager.toolbar.actions.triggered.connect,,4,,
ax.set_xticklabels@codes,codes,matplotlib.axes.Axes.set_xticklabels@codes,arg,ax.set_xticklabels,,0,n-length array integers representing the codes of the path .,n-length array integers representing the codes of the path .
plt.csd@solid_joinstyle,solid_joinstyle,matplotlib.pyplot.csd@solid_joinstyle,arg,plt.csd,,0,set the join style for solid linestyles accepts,set the join style for solid linestyles accepts
plt.gca.plot_surface@rstride,rstride,matplotlib.axes.Axes.plot_surface@rstride,arg,plt.gca.plot_surface,,445,,
plt.twiny@y,y,matplotlib.pyplot.twiny@y,arg,plt.twiny,,0,make a second axes that shares the y - axis . the new axis will,"make a second axes that shares the y - axis . the new axis will overlay ax ( or the current axes if ax is none ) . the ticks for ax2 will be placed on the top , and the ax2 instance is returned ."
plt.text.set_position,set_position,matplotlib.pyplot.text.set_position,func,plt.text,,4,,
plt.annotate@snap,snap,matplotlib.pyplot.annotate@snap,arg,plt.annotate,,0,sets the snap setting which may be,sets the snap setting which may be
ax.xcorr@markevery,markevery,matplotlib.axes.Axes.xcorr@markevery,arg,ax.xcorr,,0,set the markevery property to subsample the plot when using markers .,set the markevery property to subsample the plot when using markers .
plt.plot@cursor_props,cursor_props,matplotlib.pyplot.plot@cursor_props,arg,plt.plot,,0,set the cursor property as,set the cursor property as
plt.colorbar.ax.hlines@2,2,matplotlib.pyplot.colorbar.ax.hlines@2,arg,plt.colorbar.ax.hlines,,1,,
plt.hist2d@norm,norm,matplotlib.pyplot.hist2d@norm,arg,plt.hist2d,,7,,
plt.legend@prop@family,family,matplotlib.pyplot.legend@prop@family,argkey,plt.legend@prop,,2,change the font family .,change the font family .
plt.colorbar.ax.hlines@1,1,matplotlib.pyplot.colorbar.ax.hlines@1,arg,plt.colorbar.ax.hlines,,1,,
plt.imshow.canvas.copy_from_bbox@0,0,matplotlib.pyplot.imshow.canvas.copy_from_bbox@0,arg,plt.imshow.canvas.copy_from_bbox,,2,,
plt.gca.get_renderer_cache,get_renderer_cache,matplotlib.axes.Axes.get_renderer_cache,func,plt.gca,,4,,
plt.arrow@xlabel,xlabel,matplotlib.pyplot.arrow@xlabel,arg,plt.arrow,,0,set the label for the xaxis .,set the label for the xaxis .
plt.gca.extra_axes,extra_axes,matplotlib.axes.Axes.extra_axes,func,plt.gca,,1,,
plt.rgrids@y,y,matplotlib.pyplot.rgrids@y,arg,plt.rgrids,,0,set the y position of the text,set the y position of the text
plt.colorbar.ax.text@fontsize,fontsize,matplotlib.pyplot.colorbar.ax.text@fontsize,arg,plt.colorbar.ax.text,,2,,
plt.polar.rstrip.split.canvas.grab_mouse,grab_mouse,matplotlib.pyplot.polar.rstrip.split.canvas.grab_mouse,func,plt.polar.rstrip.split.canvas,,1,,
plt.legend.get_window_extent.inverse_transformed.set_data,set_data,matplotlib.legend.Legend.get_window_extent.inverse_transformed.set_data,func,plt.legend.get_window_extent.inverse_transformed,,1,,
ax.barh@edgecolor,edgecolor,matplotlib.axes.Axes.barh@edgecolor,arg,ax.barh,,0,set the patch edge color,set the patch edge color
ax.hexbin@animated,animated,matplotlib.axes.Axes.hexbin@animated,arg,ax.hexbin,,0,set the artist 's animation state .,set the artist 's animation state .
ax.annotate,annotate,matplotlib.axes.Axes.annotate,func,ax,,0,create an annotation,create an annotation
plt.fill@label,label,matplotlib.pyplot.fill@label,arg,plt.fill,,16,set the label to s for auto legend .,set the label to s for auto legend .
mpl.collections.EventCollection.set_rasterized,set_rasterized,matplotlib.collections.EventCollection.set_rasterized,func,mpl.collections.EventCollection,,0,force rasterized ( bitmap ) drawing in vector backend output .,force rasterized ( bitmap ) drawing in vector backend output .
plt.cohere.__doc__,__doc__,matplotlib.pyplot.cohere.__doc__,func,plt.cohere,,49,,
plt.Circle.set_linewidth@0,0,matplotlib.pyplot.Circle.set_linewidth@0,arg,plt.Circle.set_linewidth,,1,,
plt.scatter.sqrt,sqrt,matplotlib.pyplot.scatter.sqrt,func,plt.scatter,,2,,
plt.subplots@subplot_kw@ylim,ylim,matplotlib.pyplot.subplots@subplot_kw@ylim,argkey,plt.subplots@subplot_kw,,7,,
mpl.collections.PatchCollection.get_picker,get_picker,matplotlib.collections.PatchCollection.get_picker,func,mpl.collections.PatchCollection,,0,return the picker object used by this artist,return the picker object used by this artist
plt.gcf.__class__.__new__@0,0,matplotlib.pyplot.gcf.__class__.__new__@0,arg,plt.gcf.__class__.__new__,,4,,
plt.gca.get_position.corners,corners,matplotlib.axes.Axes.get_position.corners,func,plt.gca.get_position,,6,,
